epoch,train_loss,valid_loss,COCOMetric,time
0,0.8751829266548157,1.0299183130264282,0.15819785246533113,00:22
1,0.8140159845352173,0.7718446850776672,0.2910093965459832,00:22
2,0.753856897354126,0.8142942190170288,0.2477794511993736,00:21
3,0.770451545715332,0.8434915542602539,0.18005409182188423,00:22
4,0.7385605573654175,0.8579725027084351,0.2569839570279851,00:21
5,0.7314420938491821,0.732941746711731,0.2606073974558037,00:21
6,0.7156016826629639,0.7395616173744202,0.27059976328027846,00:22
7,0.7075104117393494,0.6990342736244202,0.2673815382493744,00:22
8,0.6829268932342529,0.7096467018127441,0.2560957364560623,00:22
9,0.6492758393287659,0.7126043438911438,0.2727366358672757,00:22
10,0.6560719609260559,0.844393789768219,0.2042759489139221,00:21
11,0.6433050632476807,0.6815060973167419,0.287239379835191,00:21
12,0.6272861361503601,0.7305765151977539,0.2590427192956119,00:22
13,0.6094534993171692,0.6843940019607544,0.2795839345942075,00:22
14,0.6022376418113708,0.7551119327545166,0.24566785481257597,00:22
15,0.5955753326416016,0.7228879928588867,0.2748926025849963,00:21
16,0.5840762853622437,0.665345311164856,0.2987907823624461,00:21
17,0.5771206021308899,0.6194077134132385,0.30364271939092563,00:22
18,0.5794621706008911,0.7019160985946655,0.274540656429708,00:21
19,0.6006351709365845,0.7437101602554321,0.27359311928819574,00:21
20,0.5903432369232178,0.6601240634918213,0.3198399451839368,00:22
21,0.5952903628349304,0.6520279049873352,0.33778749866401786,00:22
22,0.5785926580429077,0.6135615110397339,0.3228816659611254,00:21
23,0.569534420967102,0.6102195382118225,0.3505165683504059,00:22
24,0.5558249950408936,0.6323583126068115,0.31393748356851175,00:21
25,0.5737596750259399,0.795235812664032,0.2875757976406266,00:21
26,0.5858975648880005,0.6208257079124451,0.3208494462078647,00:21
27,0.5616965293884277,0.6857776641845703,0.28464295875476003,00:21
28,0.5584102272987366,0.7540212273597717,0.26376714599139767,00:22
29,0.548372209072113,0.6005409359931946,0.3301951957794744,00:21
30,0.5402714014053345,0.6710125803947449,0.3260839285664043,00:21
31,0.5454531908035278,0.6168723702430725,0.29797457415542516,00:21
32,0.5359928607940674,0.6244280338287354,0.33949081725646496,00:21
33,0.5234003663063049,0.6254640221595764,0.341805902278018,00:22
34,0.5158886909484863,0.6089105606079102,0.3496675710594257,00:21
35,0.5113928318023682,0.675165057182312,0.34210742656990645,00:21
36,0.5237369537353516,0.67548006772995,0.3205336526818336,00:21
37,0.522289514541626,0.6062749028205872,0.3297762838927978,00:21
38,0.5094672441482544,0.6324562430381775,0.34671816040398057,00:21
39,0.5139749050140381,0.6946196556091309,0.31101610681831154,00:21
40,0.5342996120452881,0.900977611541748,0.3049448252508683,00:21
41,0.5453353524208069,0.6332564949989319,0.33923993841806666,00:21
42,0.5544480681419373,0.6567085385322571,0.3483061840842448,00:21
43,0.5417447686195374,0.6048787832260132,0.3559276162198257,00:21
44,0.5162981152534485,0.6180177330970764,0.3108039811180704,00:21
45,0.4853605329990387,0.5500889420509338,0.394213071285749,00:21
46,0.4530992805957794,0.5220376253128052,0.4102431194991938,00:22
47,0.42717909812927246,0.5129584670066833,0.4160959418982217,00:22
48,0.4085771143436432,0.5188930034637451,0.41953420229638466,00:21
49,0.39994773268699646,0.516385555267334,0.4237852379526488,00:21
50,0.38984623551368713,0.5255603790283203,0.4036228764548142,00:21
51,0.3848346173763275,0.5207345485687256,0.40915875989723355,00:21
52,0.3780907988548279,0.5116428136825562,0.4377933582165674,00:21
53,0.3738715350627899,0.5167351961135864,0.41869968358959,00:21
54,0.3714621067047119,0.5302117466926575,0.42503599997202246,00:21
55,0.36964187026023865,0.5355291962623596,0.4202930658400148,00:21
56,0.36948466300964355,0.5415173768997192,0.41706419882672896,00:21
57,0.36405694484710693,0.5193552374839783,0.41212099869052876,00:21
58,0.35798880457878113,0.531043529510498,0.4222269818269437,00:21
59,0.3560718297958374,0.5373636484146118,0.4202891420184995,00:21
60,0.35672444105148315,0.5481136441230774,0.41048310847003566,00:21
61,0.35542353987693787,0.5375034809112549,0.4132062795763598,00:22
62,0.35281264781951904,0.5440911650657654,0.42284216316768314,00:21
63,0.3464638888835907,0.5349000096321106,0.4104274094189572,00:21
64,0.34962353110313416,0.5702764391899109,0.40291708047239966,00:21
65,0.3501132130622864,0.5753391981124878,0.4070731905998502,00:21
66,0.3430003225803375,0.5504059195518494,0.415064313397318,00:21
67,0.3478177785873413,0.5221418738365173,0.42265223186065937,00:21
68,0.3414120674133301,0.5284379124641418,0.4292678740748591,00:21
69,0.3344167172908783,0.5218088626861572,0.42228031422266055,00:21
70,0.3300967812538147,0.5336540937423706,0.4268292112760482,00:21
71,0.325503945350647,0.5247182846069336,0.4253445558192904,00:21
72,0.33006054162979126,0.5279077291488647,0.4240750037662766,00:21
73,0.33005765080451965,0.5251019597053528,0.424349152892679,00:21
74,0.32776591181755066,0.5227094292640686,0.4256650104242739,00:21
75,0.33152079582214355,0.5229219198226929,0.4233880976314401,00:21
76,0.3283199667930603,0.5286161303520203,0.4236011902573687,00:21
77,0.3215583860874176,0.5287324786186218,0.421867417871909,00:21
